type,registration_no,name,dob,place,sex,father,mother,cause,created_at
birth,REG-0001,Toni Peters,1978-03-12,Sherrishire,O,William Patterson,Rebekah Garcia,,2025-11-13T04:44:21.558351
birth,REG-0002,Stephen Nguyen,1948-09-27,Jeanneport,F,Todd Berry,Sonia Cruz,,2025-11-13T04:44:21.559473
birth,REG-0003,Robert Dalton,1995-03-27,East Richard,M,Mark Wagner,Tracy Mitchell,,2025-11-13T04:44:21.560477
death,REG-0004,Jennifer Mann,,Nolantown,,,,Unknown,2025-11-13T04:44:21.561624
death,REG-0005,Tamara Williams,,Pearsonshire,,,,Disease,2025-11-13T04:44:21.561990
birth,REG-0006,Marc Wright,1977-06-04,Debbiestad,M,Bernard Bell,Elizabeth Huang,,2025-11-13T04:44:21.562299
death,REG-0007,Whitney Williams,,Mikeberg,,,,Unknown,2025-11-13T04:44:21.563094
death,REG-0008,Christopher Wilson,,New Sandrafurt,,,,Unknown,2025-11-13T04:44:21.563413
death,REG-0009,Laura Murray,,South Amber,,,,Disease,2025-11-13T04:44:21.563825
death,REG-0010,Dr. Chelsea Burns,,Fieldsmouth,,,,Natural,2025-11-13T04:44:21.564196
birth,REG-0011,Daniel Mora,1961-10-23,New Paige,F,Larry Lewis,Melissa Donaldson,,2025-11-13T04:44:21.564495
death,REG-0012,William Ferguson,,East Victoriaport,,,,Disease,2025-11-13T04:44:21.565378
death,REG-0013,Amanda Hill,,Patrickville,,,,Accident,2025-11-13T04:44:21.565702
death,REG-0014,Michael Harris,,Williamsbury,,,,Natural,2025-11-13T04:44:21.566211
birth,REG-0015,Scott Brown,2016-11-04,Brownmouth,O,Austin Schaefer,Lisa Gonzalez,,2025-11-13T04:44:21.566560
birth,REG-0016,William Ortiz,1991-03-15,Taylorberg,F,Jacob Jones,Barbara Johnson,,2025-11-13T04:44:21.567396
birth,REG-0017,Tracy Ballard,1993-05-29,East Linda,O,John York,Stephanie Christensen,,2025-11-13T04:44:21.568209
death,REG-0018,Brandon Dean,,Haasberg,,,,Natural,2025-11-13T04:44:21.568985
death,REG-0019,John Giles,,West Michelle,,,,Unknown,2025-11-13T04:44:21.569341
birth,REG-0020,Matthew Cabrera,1948-07-26,North Bonnieview,F,Mark Perez,Elizabeth Gomez,,2025-11-13T04:44:21.569653
birth,REG-0021,Shelley Adams,1966-06-13,Jeremiahtown,F,Jordan Brooks,Melanie Roy,,2025-11-13T04:44:21.570417
death,REG-0022,Stephen Ruiz,,New Dillon,,,,Accident,2025-11-13T04:44:21.571146
death,REG-0023,Janet Moore,,Montgomeryfort,,,,Accident,2025-11-13T04:44:21.571567
birth,REG-0024,Dr. Wendy Rogers,2019-09-06,Lopezbury,M,Charles Livingston DDS,Shelly Johnson,,2025-11-13T04:44:21.571952
birth,REG-0025,Brandy Miller,2023-04-10,Kristinstad,M,Nicholas Thomas,Lindsey Burnett,,2025-11-13T04:44:21.572748
death,REG-0026,Crystal Gomez,,Lake Marie,,,,Unknown,2025-11-13T04:44:21.573485
birth,REG-0027,Tanner Williams,1953-10-24,Lewischester,O,Jordan Todd,Meredith Ayala,,2025-11-13T04:44:21.573880
death,REG-0028,Lisa Edwards,,West Mark,,,,Accident,2025-11-13T04:44:21.574927
death,REG-0029,Ruth Ellis,,East Jaredtown,,,,Natural,2025-11-13T04:44:21.575308
birth,REG-0030,Ryan Mcclure,1945-12-22,North Rhondaside,O,James Henderson,Sharon King,,2025-11-13T04:44:21.575671
death,REG-0031,Michael Roach,,Adamsfort,,,,Natural,2025-11-13T04:44:21.576462
birth,REG-0032,Annette Carney,1970-09-16,Burnshaven,F,Carlos Wells,Marilyn Black,,2025-11-13T04:44:21.576893
birth,REG-0033,Melissa Howard,1968-02-01,Ashleyburgh,F,Luis Martinez,Kathryn Tucker,,2025-11-13T04:44:21.577609
death,REG-0034,Kimberly Keller,,Michelleshire,,,,Natural,2025-11-13T04:44:21.578404
birth,REG-0035,Logan Watkins,2015-08-30,Zacharymouth,F,Jeffrey Pierce Jr.,Dawn Harris,,2025-11-13T04:44:21.578709
death,REG-0036,Angela Shah,,Johnville,,,,Disease,2025-11-13T04:44:21.579509
death,REG-0037,Dennis Young,,North Lawrence,,,,Accident,2025-11-13T04:44:21.579838
birth,REG-0038,Jessica Leblanc,1988-12-25,Port Ethanberg,O,Jacob Villarreal,Donna Cuevas,,2025-11-13T04:44:21.580209
death,REG-0039,Mr. Shawn Johnson,,East Kurtberg,,,,Natural,2025-11-13T04:44:21.580934
death,REG-0040,Michelle Herrera,,Port Michaeltown,,,,Disease,2025-11-13T04:44:21.581321
birth,REG-0041,Mary Reilly,2020-06-05,East Karenbury,F,Jesse Jefferson,Katelyn Hayes,,2025-11-13T04:44:21.581636
death,REG-0042,Michael Gonzales,,Hickshaven,,,,Accident,2025-11-13T04:44:21.582439
birth,REG-0043,Roberto Wise,1946-10-02,South Patriciaburgh,F,Robert Mills,Julia Wheeler,,2025-11-13T04:44:21.582755
death,REG-0044,Robert Garcia,,Lynnstad,,,,Accident,2025-11-13T04:44:21.583543
